,Raft,Cod,Autor1 prenume,Autor1 nume,Autor2 prenume,Autor2 nume,Autor3 prenume,Autor3 nume,Autor4 prenume,Autor4 nume,Titlu,Editura,An,Obs
,Raft 05,R0501,Felix,BUFFIERE,,,,,,,Miturile lui Homer si gandirea greaca,Univers,1987,
,Raft 05,R0502,Zuan,KE,,,,,,,Miturile Chinei antice,Stiintifica si Enciclopedica,1987,
,Raft 05,R0503,A. P.,CEHOV,,,,,,,Schite si povestiri,Univers,1986,
,Raft 05,R0504,W.,SHAKESPEARE,,,,,,,"Vol.4 Henric al IV-lea, Partea I-a II-a; Mult zgomot pentru nimic; Henric al V-lea; Nevestele vesele din Windsor",Univers,1985,
,Raft 05,R0505,W.,SHAKESPEARE,,,,,,,Vol. 5 Iuliu Cezar; Cum va place; A douasprezecea noapte; Hamplet,Univers,1986,
,Raft 05,R0506,M.,PROUST,,,,,,,In cautarea timului pierdut,Univers,1987,
,Raft 05,R0507,E. A.,POE,,,,,,,Anabel Lee si alte poeme,Univers,1987,
,Raft 05,R0508,Henrik,SINKIEWICZ,,,,,,,Prin foc si sabie,Univers,1988,
,Raft 05,R0509,Mario Vargas,LLOSA,,,,,,,Razboiul sfarsitului lumii,Cartea Romaneasca,1986,
,Raft 05,R0510,Kostas D.,KYRIAZIS,,,,,,,"Theofano, imparateasa Bizantului",Univers,1973,
,Raft 05,R0511,Cornelui,LEU,,,,,,,"Faptele de arme ale unor civili in secolul razboaielor mondiale sau ce inseamna puterea, Vol. I",Albatros,1987,
,Raft 05,R0512,Cornelui,LEU,,,,,,,"Faptele de arme ale unor civili in secolul razboaielor mondiale sau ce inseamna puterea, Vol. II",,1987,
,Raft 05,R0513,Cornelui,LEU,,,,,,,"Faptele de arme ale unor civili in secolul razboaielor mondiale sau ce inseamna puterea, Vol. III",,1989,
,Raft 05,R0514,Luigi,PIRANDELO,,,,,,,Giustino Roncella; Batrani si tineri,Eminescu,1988,
,Raft 05,R0515,August,STRINBERG,,,,,,,Saloanele gotice,Univers,1987,
,Raft 05,R0516,Ion,VINEA,,,,,,,Lunatecii,Facla,1988,
,Raft 05,R0517,Romulus,CIOFLEC,,,,,,,Boierul,Dacia,1988,
,Raft 05,R0518,Ion,BULEI,,,,,,,Sistemul politic al Romaniei moderne - Partidul conservator,Politica,1987,
,Raft 05,R0519,Mircea,ELIADE,,,,,,,Secretul doctorului Honigberger -  Proza fantastica * *,Fundatiei culturale Romane,1991,
,Raft 05,R0520,Mircea,ELIADE,,,,,,,"Istoria credintelor si ideilor religioase, Vol. III",Stiintifica si Enciclopedica,1988,
,Raft 05,R0521,Mircea,ELIADE,,,,,,,Romanul adolescentului miop,Muzeul literaturii romane,1988,
,Raft 05,R0522,Ales,ADAMOVICI,Daniil,GRANIN,,,,,Cartea blocadei - Leningrad septembrie 1941 - Ianuarie 1944,Politica,1987,
,Raft 05,R0523,Imanuel,KANT,,,,,,,Prolegomene,Stiintifica si Enciclopedica,1987,
,Raft 05,R0524,* * *,,,,,,,,"Povestiri cu haz, povestiri cu talc din China antica",Univers,1986,
,Raft 05,R0525,Andre,MAUROIS,,,,,,,Istoria Angliei (editie actualizata de Michel Mohrt),Orizonturi,,
,Raft 05,R0526,Rodica,DUMITRESCU,,,,,,,Mafiea - filiera tacerii,Politica,1986,
,Raft 05,R0527,Lev,BEZIMENSKI,,,,,,,Enigme descifrate ale celui de-al III-lea Reich,Politica,1988,
